hora;potencia
2:00:00;46860
0:00:00;53380
0:30:00;52510
1:00:00;48970
1:30:00;49450
2:00:00;47730
0:00:00;54070
0:30:00;53310
1:00:00;49580
1:30:00;49930
2:00:00;48080
0:00:00;54360
0:30:00;51900
1:00:00;49510
1:30:00;49770
2:00:00;47460
0:00:00;53110
0:30:00;51300
1:00:00;48650
1:30:00;48090
2:00:00;46510
0:00:00;50590
0:30:00;48730
1:00:00;45840
1:30:00;46320
2:00:00;43980
0:00:00;49410
0:30:00;48430
1:00:00;46150
1:30:00;45620
2:00:00;43010
0:00:00;52450
0:30:00;51480
1:00:00;48490
1:30:00;49000
2:00:00;46130
0:00:00;54500
0:30:00;52350
1:00:00;49590
1:30:00;48650
2:00:00;46400
0:00:00;54630
0:30:00;52910
1:00:00;49590
1:30:00;49630
2:00:00;49450
0:00:00;53850
0:30:00;53270
1:00:00;50720
1:30:00;50360
2:00:00;47570
0:00:00;53900
0:30:00;51900
1:00:00;49090
1:30:00;48440
2:00:00;47120
0:00:00;50270
0:30:00;48640
1:00:00;45930
1:30:00;46790
2:00:00;44250
0:00:00;50290
0:30:00;49220
1:00:00;45370
1:30:00;45850
2:00:00;43670
0:00:00;53410
0:30:00;52010
1:00:00;48540
1:30:00;48830
2:00:00;46720
0:00:00;53570
0:30:00;53210
1:00:00;49090
1:30:00;49170
2:00:00;47950
0:00:00;54100
0:30:00;52590
1:00:00;49600
1:30:00;49450
2:00:00;48080
0:00:00;49670
0:30:00;49060
1:00:00;46510
1:30:00;46680
2:00:00;44340
0:00:00;50590
0:30:00;51240
1:00:00;47720
1:30:00;46850
2:00:00;45960
0:00:00;49410
0:30:00;47600
1:00:00;45950
1:30:00;45140
2:00:00;43350
0:00:00;48560
0:30:00;47930
1:00:00;45520
1:30:00;44780
2:00:00;43100
0:00:00;54290
0:30:00;51920
1:00:00;50150
1:30:00;49320
2:00:00;46690
0:00:00;54900
0:30:00;52670
1:00:00;49350
1:30:00;50050
2:00:00;47690
0:00:00;54950
0:30:00;52610
1:00:00;49210
1:30:00;49960
2:00:00;48390
0:00:00;53420
0:30:00;52110
1:00:00;48360
1:30:00;49010
2:00:00;46890
0:00:00;52330
0:30:00;51220
1:00:00;48000
1:30:00;47510
2:00:00;45470
0:00:00;48810
0:30:00;47650
1:00:00;45170
1:30:00;44550
2:00:00;42990
0:00:00;48590
0:30:00;47950
1:00:00;44440
1:30:00;43960
2:00:00;42330
0:00:00;52040
0:30:00;50100
1:00:00;46830
1:30:00;47310
2:00:00;45210
0:00:00;51950
0:30:00;50990
1:00:00;47790
1:30:00;46910
2:00:00;46160
0:00:00;52950
0:30:00;51250
1:00:00;48590
1:30:00;48490
2:00:00;46110
0:00:00;53750
0:30:00;51400
1:00:00;48160
1:30:00;48200
2:00:00;46140
0:00:00;49750
0:30:00;47910
1:00:00;44800
1:30:00;44450
2:00:00;42420
0:00:00;46890
0:30:00;45160
1:00:00;42600
1:30:00;42550
2:00:00;40820
0:00:00;45750
0:30:00;44330
1:00:00;41770
1:30:00;41560
2:00:00;39310
0:00:00;47180
0:30:00;46170
1:00:00;43160
1:30:00;43060
2:00:00;41400
0:00:00;48490
0:30:00;46550
1:00:00;43540
1:30:00;43810
2:00:00;41990
0:00:00;48120
0:30:00;46430
1:00:00;44200
1:30:00;44200
2:00:00;41760
0:00:00;47800
0:30:00;45570
1:00:00;43350
1:30:00;43230
2:00:00;41540
0:00:00;46710
0:30:00;45240
1:00:00;42910
1:30:00;42310
2:00:00;40650
0:00:00;45150
0:30:00;43010
1:00:00;41250
1:30:00;40790
2:00:00;38990
0:00:00;45250
0:30:00;43350
1:00:00;41360
1:30:00;41020
2:00:00;38710
0:00:00;46530
0:30:00;45410
1:00:00;42150
1:30:00;42880
2:00:00;41100
0:00:00;46820
0:30:00;45570
1:00:00;42950
1:30:00;42950
2:00:00;41290
0:00:00;46580
0:30:00;44760
1:00:00;42610
1:30:00;42710
2:00:00;41030
0:00:00;48060
0:30:00;46730
1:00:00;44500
1:30:00;44030
2:00:00;42110
0:00:00;47430
0:30:00;45900
1:00:00;43800
1:30:00;44110
2:00:00;42230
0:00:00;45850
0:30:00;44310
1:00:00;41950
1:30:00;41770
2:00:00;39940
0:00:00;44740
0:30:00;43190
1:00:00;41080
1:30:00;40910
2:00:00;39010
0:00:00;44720
0:30:00;43370
1:00:00;40660
1:30:00;40670
2:00:00;39170
0:00:00;48790
0:30:00;46490
1:00:00;43800
1:30:00;43080
2:00:00;41760
0:00:00;48890
0:30:00;47350
1:00:00;44450
1:30:00;44880
2:00:00;42780
0:00:00;49170
0:30:00;47560
1:00:00;45110
1:30:00;44800
2:00:00;43200
0:00:00;49480
0:30:00;47590
1:00:00;44730
1:30:00;44470
2:00:00;42620
0:00:00;46480
0:30:00;45170
1:00:00;43050
1:30:00;42560
2:00:00;40810
0:00:00;46300
0:30:00;44880
1:00:00;42100
1:30:00;42410
2:00:00;40510
0:00:00;51500
0:30:00;49940
1:00:00;46750
1:30:00;46690
2:00:00;45140
0:00:00;51890
0:30:00;50380
1:00:00;47150
1:30:00;47170
2:00:00;45250
0:00:00;51700
0:30:00;50640
1:00:00;47330
1:30:00;46740
2:00:00;44500
0:00:00;52310
0:30:00;50400
1:00:00;47870
1:30:00;46520
2:00:00;44910
